,feature,coef
188,comprenait,[2.77756687]
189,comprendre,[4.11912545]
190,compris,[3.65246961]
191,compte,[1.47352346]
192,concierge,[-8.38465143]
193,condamné,[1.7648536]
194,conduit,[3.05978685]
195,connaissais,[-1.98810747]
196,connaissait,[1.20898033]
197,connaissait bien,[1.44691187]
198,connu,[-1.98517317]
199,conscience,[-0.30413283]
200,considérer,[-1.67548665]
201,content,[-4.42768856]
202,continué,[-1.70023226]
203,contraire,[2.08013828]
204,contre,[0.45308002]
205,conversation,[4.72054528]
206,copain,[0.08898158]
207,corps,[0.27218401]
208,couché,[-0.38753419]
209,couleur,[-2.42314454]
210,coup,[-1.38723099]
211,coupable,[2.25000571]
212,coups,[-1.07853254]
213,cour,[4.66027856]
214,courir,[-1.81345502]
215,cours,[-4.19052181]
216,course,[-2.2010854]
217,couru,[-1.94614348]
218,couteau,[-3.46160838]
219,cravate,[1.91680626]
220,crayon,[-0.09580839]
221,crime,[1.07626677]
222,crié,[1.71524857]
223,croire,[0.88476486]
224,crois,[0.08428247]
225,croûtes,[-0.87075014]
226,cru,[0.58746033]
227,cuisine,[-0.31934993]
228,céleste,[0.87191798]
229,côté,[0.96820919]
230,cœur,[6.81300674]
231,dehors,[0.97560946]
232,demain,[-1.92741607]
233,demandait,[0.39688082]
234,demande,[1.32295372]
235,demander,[-0.57396456]
236,demandé,[-2.13286677]
237,demandé alors,[-3.88733245]
238,demandé alors si,[-4.33357253]
239,demandé comment,[-1.73281539]
240,demandé pourquoi,[1.48965994]
241,demandé si,[-0.39403605]
242,demie,[0.12412629]
243,dents,[-0.33759577]
244,depuis,[0.1977069]
245,dernier,[1.19799551]
246,dernière,[2.6139737]
247,dernière fois,[1.0904167]
248,derrière,[-4.66824004]
249,descendus,[-3.07496455]
250,deux,[-0.71172783]
251,deux heures,[-0.91032944]
252,deux trois,[-0.62626894]
253,deuxième,[-1.63532075]
254,devais,[1.62615037]
255,devait,[1.10427014]
256,devant,[-1.67885062]
257,devinais,[0.15431056]
258,devoir,[1.44836412]
259,dieu,[5.57151359]
260,difficile,[0.26972739]
261,dimanche,[-2.83989976]
262,dire,[1.08808421]
263,directeur,[-0.94131473]
264,disais,[-1.3244902]
265,disait,[3.87458752]
266,disant,[2.83225638]
267,distingué,[-0.61858762]
268,dit,[-2.5124684]
269,dit alors,[0.1772788]
270,dit fallait,[0.17148565]
271,dit non,[0.53295335]
272,dit oui,[-5.93957093]
273,dit tout,[1.24255152]
274,dix,[-1.3702389]
275,docteur,[-1.57548195]
276,doigt,[2.05505691]
277,doit,[-2.08672951]
278,donc,[4.61319566]
279,donnait,[-3.03276429]
280,donne,[-2.40267724]
281,donner,[-0.35210382]
282,donné,[-2.02938401]
283,dont,[3.9523854]
284,dormi,[-3.31040845]
285,dormir,[-1.10238015]
286,dos,[-3.0993774]
287,dossier,[0.88382262]
288,doucement,[-2.76747929]
289,doute,[-0.62491834]
290,droit,[3.92160961]
291,droits,[-2.3579541]
292,dur,[0.75476061]
293,dès,[-1.1068045]
294,débats,[2.63023679]
295,début,[3.97753032]
296,déclarations,[0.63145898]
297,déclaré,[1.87683735]
298,déjeuner,[-2.91583022]
299,déjà,[-1.3245876]
300,déserte,[-2.38621956]
301,désir,[1.01706921]
302,détails,[1.88934947]
303,détourné,[5.99399453]
304,détourné yeux,[4.76683256]
305,dîner,[-1.94469111]
306,dû,[-2.63506285]
307,eau,[-4.60786524]
308,effet,[1.14145657]
309,effort,[-0.75588065]
310,elles,[0.97665307]
311,emmanuel,[0.20720009]
312,emmené,[2.42436436]
313,encore,[-1.82225758]
314,encore parler,[3.12270585]
315,enfin,[-0.44837662]
316,ennuyait,[-0.50656379]
317,ennuyer,[2.41371794]
318,ennuyeux,[3.22781354]
319,ennuyé,[-4.36725806]
320,ensemble,[-2.9230688]
321,ensuite,[-0.07082729]
322,entendais,[-1.39196957]
323,entendait,[2.89402677]
324,entendre,[1.10847854]
325,entendu,[-0.44544935]
326,enterrement,[-2.45484136]
327,enterré,[-0.47627641]
328,entre,[0.81164894]
329,entrer,[0.82847284]
330,entré,[-2.96493995]
331,entrée,[-0.62995781]
332,envie,[0.45994859]
333,escalier,[-3.47716399]
334,espoir,[1.66874598]
335,espérer,[1.29397082]
336,essayais,[2.83428895]
337,essayé,[1.06106515]
338,essuyé,[2.29823311]
339,estce,[1.17628729]
340,estil,[1.27269922]
341,exemple,[0.66993422]
342,expliquer,[2.66497267]
343,expliqué,[0.35980265]
344,exécution,[1.92760065]
345,face,[-2.54589347]
346,faim,[-1.66340148]
347,faire,[-0.91458635]
348,faisaient,[0.09335917]
349,faisais,[2.88080615]
350,faisait,[-0.42707936]
351,faisait mal,[2.25029817]
352,fait,[1.81337329]
353,fait petit,[2.13339845]
354,fait petit signe,[2.13339845]
355,fait signe,[2.88319527]
356,faite,[1.74902661]
357,faits,[0.94176432]
358,fallait,[3.3442634]
359,fallu,[-1.45206471]
360,fatigué,[0.10154416]
361,faudrait,[-0.23824207]
362,faut,[3.7457244]
363,fauteuil,[3.43299087]
364,façon,[1.48197042]
365,femme,[0.83414136]
366,femme dit,[-1.00765081]
367,femmes,[-4.78511401]
368,fenêtre,[-2.65250294]
369,fer,[0.69276549]
370,fermé,[-0.72684772]
371,figure,[-3.66871422]
372,fille,[-4.94899727]
373,film,[0.29325846]
374,fils,[2.35950389]
375,fin,[-0.77081789]
376,finalement,[-0.25983371]
377,fini,[1.60149271]
378,finir,[-1.75606476]
379,finissait,[-1.74135752]
380,flûte,[-1.74212848]
381,fois,[0.93629966]
382,fois depuis,[0.78303949]
383,fois plus,[2.49282675]
384,fond,[1.64591768]
385,force,[-0.64260569]
386,fort,[-0.19660841]
387,fourrière,[-0.76634451]
388,francs,[-4.16234082]
389,frappait,[-1.15264788]
390,frappé,[-3.15319429]
391,frappé porte,[-1.07193706]
392,froid,[-1.36743926]
393,front,[-2.85237413]
394,fumer,[0.38837008]
395,fumé,[-1.44518531]
396,gardien,[3.41755039]
397,gardé,[-1.04144644]
398,gendarme,[0.8549856]
399,gendarmes,[2.5089387]
400,genoux,[2.55213642]
401,gens,[-4.23641847]
402,geste,[2.03990037]
403,gestes,[-1.33476364]
404,gifle,[-0.75818049]
405,giflé,[0.12068042]
406,grand,[2.8868385]
407,gros,[-0.32199189]
408,groupe,[-1.67499435]
409,général,[2.73529304]
410,habitude,[0.36969617]
411,habitué,[1.20191381]
412,hasard,[3.02957479]
413,hasard procureur,[1.69869542]
414,heure,[1.58914948]
415,heures,[-0.11811493]
416,heureux,[0.28873642]
417,histoire,[-1.20880529]
418,homme,[8.44205984]
419,hommes,[-0.18294921]
420,hui,[-1.92228521]
421,huissier,[2.98155249]
422,huit,[-0.79069475]
423,ici,[-3.45014925]
424,identité,[1.8151859]
425,idée,[3.57000981]
426,ignorais,[0.84599497]
427,image,[2.1380472]
428,imagination,[2.8600825]
429,imaginer,[2.10542351]
430,immobile,[-0.79408153]
431,immédiatement,[-2.32278292]
432,importance,[0.13816818]
433,importe,[0.86971777]
434,impression,[0.97681977]
435,indiqué,[0.5931777]
436,infirmière,[-3.24066215]
437,instant,[3.53124302]
438,instruction,[2.06809025]
439,insulter,[-1.48488045]
440,intention,[0.71525685]
441,interrogatoire,[2.89673795]
442,interrogatoires,[0.2235848]
443,interrogé,[0.39023863]
444,intéressait,[4.84852811]
445,intéressant,[-3.15474704]
446,intéresser,[1.86415893]
447,intérêt,[0.88214114]
448,invité,[1.63172339]
449,issue,[0.01186132]
450,jamais,[6.94179251]
451,jamais aimé,[2.43074327]
452,jaquette,[0.26889852]
453,jeté,[-0.12605892]
454,jeune,[2.12587163]
455,jeunes,[-2.143177]
456,joie,[0.75442286]
457,jouait,[-2.40101463]
458,joues,[-3.02914102]
459,jour,[0.84307947]
460,jourlà,[4.23074316]
461,journal,[0.06691413]
462,journaliste,[1.82872646]
463,journalistes,[1.64606146]
464,journaux,[0.63412829]
465,journée,[-2.2008914]
466,journées,[1.22117936]
467,jours,[1.9352253]
468,juge,[2.78186699]
469,juge instruction,[1.41359068]
470,jugement,[0.21390817]
471,juger,[-0.12937689]
472,jury,[2.41334556]
473,jurés,[2.21144974]
474,jusqu,[-2.41979566]
475,jusqu ici,[1.90368728]
476,jusqu moment,[1.03736597]
477,juste,[-4.83080853]
478,justement,[2.3998771]
479,justice,[4.68486656]
480,laisse,[-1.6913467]
481,laisser,[0.10163548]
482,laissé,[-1.00166925]
483,lait,[-1.28765955]
484,lampe,[-0.36610331]
485,lampes,[-1.45500693]
486,lavé,[-1.55200815]
487,lendemain,[3.27062645]
488,lentement,[1.66653329]
489,lettre,[0.1620024]
490,leurs,[-5.99347012]
491,leurs yeux,[-1.61988458]
492,levé,[1.81678511]
493,levée,[0.12589772]
494,lire,[1.81319227]
495,lit,[-1.34718947]
496,loi,[0.82545909]
497,loin,[-4.85148568]
498,long,[0.65850067]
499,longtemps,[1.03651461]
500,longue,[-0.60444653]
501,lorsqu,[-0.79525389]
502,lorsque,[1.43087597]
503,lu,[0.94418916]
504,luimême,[-2.11716468]
505,lumière,[-1.05318787]
506,là,[0.14478953]
507,léger,[0.0016701]
508,machine,[3.84281731]
509,magasinier,[-3.45192162]
510,main,[3.13773782]
511,main poche,[-2.81858066]
512,mains,[1.41334613]
513,maintenant,[-3.98307555]
514,maison,[-1.0493379]
515,mal,[-1.37910828]
516,maladie,[-1.93864624]
517,malgré,[2.01193394]
518,malheur,[0.02247214]
519,malheureux,[-3.10396357]
520,maman,[-0.51710034]
521,maman morte,[-3.9751629]
522,manches,[1.67958419]
523,manger,[-2.36592669]
524,mangé,[-0.3113337]
525,manquait,[2.9243818]
526,manqué,[-2.49841874]
527,marche,[-1.76574661]
528,marché,[0.75918942]
529,marengo,[-3.05173057]
530,marie,[2.24940954]
531,marie dit,[-2.45684477]
532,marier,[-3.73490575]
533,masson,[-4.57471713]
534,masson dit,[-1.59477007]
535,matin,[2.35426115]
536,mauvais,[0.75657876]
537,maîtresse,[-2.18300393]
538,meilleur,[1.29373352]
539,mer,[-3.11283165]
540,messieurs,[4.60565699]
541,mettre,[0.65020142]
542,meursault,[-3.888991]
543,meurtre,[0.7497669]
544,midi,[-2.05914024]
545,mieux,[0.46014667]
546,milieu,[-4.19202122]
547,mis,[-3.03252101]
548,moins,[-0.57551231]
549,mois,[2.7200564]
550,moment,[0.00292667]
551,moment après,[-0.02599362]
552,moment silence,[0.85090676]
553,monde,[4.37218385]
554,monsieur,[-2.65143324]
555,montait,[0.2565568]
556,monter,[0.36428603]
557,montré,[1.69767789]
558,monté,[-0.37370534]
559,morceaux,[0.85084242]
560,mort,[1.99725811]
561,morte,[-4.31569551]
562,mot,[-0.81710594]
563,mots,[0.20245811]
564,moustache,[-0.20765031]
565,mur,[3.03998165]
566,murmure,[0.90726024]
567,murmuré,[1.48667392]
568,mère,[0.39518486]
569,mécanique,[1.68359751]
570,mêmes,[-0.20945182]
571,naturel,[4.01783681]
572,naturellement,[0.24642978]
573,noir,[0.0182964]
574,nom,[1.37183163]
575,non,[3.68047826]
576,non aije,[1.50570265]
577,nouveau,[1.49857121]
578,nuit,[-1.60827002]
579,nécessaire,[0.29675037]
580,objet,[0.29409757]
581,obligé,[1.58122571]
582,observé,[-1.9051053]
583,odeur,[-3.09690692]
584,offert,[-0.47050507]
585,ombre,[0.23243678]
586,oublié,[2.28442543]
587,oui,[2.10058033]
588,ouvert,[-2.00817007]
589,ouverte,[0.1103492]
590,où,[2.78344119]
591,paille,[-0.70032293]
592,pain,[-1.70716104]
593,palier,[-2.82582068]
594,paraissait,[2.33554316]
595,parce,[-0.47096957]
596,parce président,[1.30926787]
597,paris,[-5.3017726]
598,parlait,[0.22309264]
599,parlant,[-4.65900925]
600,parler,[2.60909668]
601,parlé,[-4.0572894]
602,parricide,[1.44354681]
603,parti,[2.71393463]
604,partie,[-0.37199398]
605,partir,[-0.66551835]
606,partir moment,[0.02202404]
607,paru,[0.64432317]
608,passait,[-1.14047296]
609,passer,[1.67005868]
610,passé,[2.70469766]
611,patron,[-4.9271356]
612,peau,[-4.38216692]
613,peine,[1.35932644]
614,penché,[-0.24407828]
615,pendant,[-1.86656463]
616,pendant tout,[-0.13852854]
617,pendant tout temps,[-1.50732725]
618,pensais,[0.96989376]
619,pensait,[1.18702542]
620,penser,[3.65661751]
621,pensé,[-5.12069151]
622,pensé alors,[-0.37773372]
623,pensée,[2.72814003]
624,pensées,[1.3275959]
625,perdre,[1.60084967]
626,perdu,[-2.32698274]
627,personne,[3.92693507]
628,petit,[0.80180876]
629,petit bruit,[-1.75910909]
630,petit signe,[4.59790848]
631,petite,[-0.53550711]
632,petites,[-2.01054149]
633,petits,[-3.13899221]
634,peu,[-1.02660672]
635,peu après,[-1.76823302]
636,peu peu,[0.48191208]
637,peu plus,[-2.30981284]
638,peu plus tard,[-3.36456644]
639,peu temps,[3.22323256]
640,peut,[0.81179154]
641,peutêtre,[-0.3863621]
642,peux,[1.83629386]
643,peux dire,[1.80980575]
644,phrases,[1.12643284]
645,pied,[-3.17277197]
646,pieds,[-1.16044883]
647,pierres,[1.28800176]
648,pièce,[-0.14311356]
649,place,[-2.14633917]
650,plage,[-3.47156726]
651,plaidoirie,[0.8671628]
652,planche,[2.89712168]
653,plat,[-0.55994729]
654,plateau,[-2.36564861]
655,plein,[1.77363053]
656,plein soleil,[0.08816145]
657,pleine,[-0.99929331]
658,pleurait,[-4.95832067]
659,pleuré,[1.4585421]
660,plis,[4.09991774]
661,plus,[3.34004718]
662,plus loin,[0.18828018]
663,plus parlé,[-2.00682524]
664,plus rien,[2.16332984]
665,plus tard,[-0.94728099]
666,plus tôt,[2.96593027]
667,plusieurs,[1.6792149]
668,plutôt,[-0.40319723]
669,poche,[-2.82273047]
670,poids,[0.09775179]
671,point,[1.58837925]
672,portait,[1.01837928]
673,porte,[-2.84258563]
674,possible,[0.06687046]
675,posé,[3.57530407]
676,pourquoi,[-0.66049787]
677,pourrait,[-0.71548839]
678,pourtant,[-3.3530039]
679,pourvoi,[5.68500262]
680,poussière,[-1.5377312]
681,pouvais,[1.60747091]
682,pouvait,[0.96272359]
683,premier,[0.93354987]
684,premiers,[2.8958812]
685,première,[2.84530278]
686,première fois,[1.41463196]
687,prenait,[2.82088143]
688,prendre,[3.33691489]
689,presque,[0.06319823]
690,pris,[-1.66080996]
691,pris café,[-1.18403035]
692,prison,[7.55190534]
693,procureur,[8.94027952]
694,procès,[2.82690643]
695,promener,[-1.45531295]
696,près,[-2.59310435]
697,précis,[2.82237089]
698,préciser,[2.22391471]
699,présence,[1.38281805]
700,président,[8.86765008]
701,président demandé,[1.21357829]
702,président dit,[3.09981639]
703,prêtre,[0.10211899]
704,pu,[1.27040694]
705,public,[2.54607706]
706,puis,[-3.21337927]
707,puis dit,[-1.22172117]
708,puis raymond,[-2.07669238]
709,puisque,[1.60593478]
710,punie,[-4.02864488]
711,punir,[-2.52734788]
712,punition,[3.65838959]
713,père,[1.34412404]
714,péché,[1.39465853]
715,pénible,[-2.35241224]
716,pérez,[-0.21319326]
717,quand,[-3.00788901]
718,quand dit,[-0.82269742]
719,quand entré,[4.34931194]
720,quand raymond,[-1.00338667]
721,quartier,[-4.59137911]
722,quatre,[-1.15754437]
723,quel,[-2.4192695]
724,quelque,[2.11794741]
725,quelque chose,[-0.22487246]
726,quelque sorte,[2.80669359]
727,quelquefois,[-1.11907272]
728,quelques,[1.28619877]
729,question,[5.33094686]
730,questions,[4.4938999]
731,quitter,[-0.82066703]
732,quoi,[-1.558157]
733,raison,[-3.16348722]
734,raisonnable,[2.19113373]
735,raisons,[1.81378679]
736,rapidement,[1.3596837]
737,rares,[-3.16042606]
738,raymond,[-8.88497741]
739,raymond demandé,[-3.50635277]
740,raymond dit,[-2.54889818]
741,raymond répondu,[-0.44632029]
742,recommençait,[-0.29277198]
743,reconnaître,[1.18152182]
744,reconnu,[2.55172253]
745,redressé,[4.7731704]
746,refusé,[3.04165232]
747,regard,[3.78954496]
748,regardaient,[0.74917662]
749,regardais,[0.64706044]
750,regardait,[-1.26081396]
751,regarder,[-0.10672825]
752,regardé,[5.60165216]
753,relevé,[-0.80315322]
754,remarquer,[-1.23026314]
755,remarqué,[2.24870732]
756,remercié,[-0.17987973]
757,rendre,[3.3731491]
758,rendre compte,[1.24943891]
759,restait,[2.14742231]
760,reste,[-2.67239224]
761,rester,[-3.43584789]
762,resté,[2.39276204]
763,resté moment,[3.77818004]
764,restés,[-2.40398365]
765,retenti,[0.55743178]
766,retourner,[-1.87946773]
767,retourné,[-0.07144863]
768,retourné vers,[0.44052007]
769,retrouver,[-1.29126905]
770,revenir,[1.30562417]
771,revenu,[0.44547943]
772,revenus,[-0.77776744]
773,revolver,[-1.38831424]
774,reçu,[-1.23398363]
775,ri,[1.38741262]
776,ridicule,[0.76658221]
777,rien,[1.31086431]
778,rien ajouter,[0.36929815]
779,rien dire,[-1.09967904]
780,rien dit,[-1.99209562]
781,rien faire,[0.08514893]
782,rien plus,[1.88095119]
783,rien répondu,[-0.01231741]
784,rire,[-1.41915714]
785,robe,[4.81680616]
786,rocher,[-4.71058281]
787,rouge,[-0.08746789]
788,rue,[-4.74809888]
789,réalité,[1.77602727]
790,réfléchi,[3.05560718]
791,réfléchi dit,[2.12385126]
792,réfléchir,[1.7570162]
793,régulièrement,[-0.74817147]
794,répondre,[4.31782442]
795,répondu,[2.5076343]
796,répondu non,[-1.95588795]
797,répété,[-2.56657762]
798,réveillé,[-4.96072704]
799,sable,[-2.98835708]
800,sac,[-2.0771945]
801,sais,[-4.21685918]
802,sais pourquoi,[-4.16329674]
803,sait,[1.50695051]
804,salamano,[-2.10811566]
805,salaud,[-1.98948901]
806,salaud charogne,[-1.98948901]
807,sale,[-4.91046126]
808,salle,[2.19964935]
809,sang,[-4.17447452]
810,sans,[-1.77130754]
811,sans doute,[-0.62491834]
812,sans importance,[-2.1133911]
813,sans regarder,[-0.20452681]
814,sans retourner,[-1.87946773]
815,sans rien,[-0.69595051]
816,sans rien dire,[-0.69595051]
817,savais,[1.77716364]
818,savait,[-0.88286656]
819,savoir,[-0.2446825]
820,savoir si,[-0.37348677]
821,sec,[0.6168805]
822,sel,[-1.29704757]
823,selon,[1.26709918]
824,semblait,[-0.08674095]
825,semblé,[1.90848667]
826,sens,[4.3562738]
827,sentais,[0.35190697]
828,sentait,[-1.20439562]
829,senti,[0.91974557]
830,sentir,[-0.58600063]
831,serré,[-0.98066656]
832,servi,[-0.63815071]
833,serviette,[0.7076318]
834,session,[2.01252091]
835,seul,[-1.13400716]
836,seule,[0.83760027]
837,seulement,[2.32532675]
838,si,[2.22811496]
839,si bien,[2.62704119]
840,si voulais,[-3.40029879]
841,signe,[6.84872724]
842,signifiait,[-1.3625807]
843,silence,[-2.88067163]
844,silence puis,[-3.1796205]
845,silencieux,[-0.20532094]
846,simple,[2.42302573]
847,société,[1.10432235]
848,soir,[-2.25068043]
849,soleil,[-6.53354285]
850,sombre,[0.03513139]
851,somme,[-0.03274216]
852,sommeil,[-3.11921663]
853,sonnerie,[0.55743178]
854,sortant,[2.58338624]
855,sorte,[3.37224201]
856,sorti,[-2.81863253]
857,sortis,[-1.35120155]
858,souliers,[-0.319829]
859,source,[-0.15221938]
860,souri,[-0.80427617]
861,souriait,[5.6605537]
862,sourire,[2.23635879]
863,sous,[-2.61889747]
864,souvenir,[2.7120453]
865,souvent,[-1.51434805]
866,souvenu,[2.08823023]
867,sueur,[-0.08782538]
868,suite,[0.83677793]
869,suite après,[2.35836956]
870,suivi,[-3.67235503]
871,suivre,[1.72793995]
872,sujet,[0.89864156]
873,surpris,[-1.76214646]
874,surtout,[0.9599001]
875,sûr,[3.55355462]
876,sœur,[3.71975597]
877,table,[-1.99621589]
878,tant,[-1.22697836]
879,tard,[-0.66120945]
880,temps,[1.02319625]
881,temps temps,[-2.67676721]
882,tenait,[-0.29107951]
883,tendu,[-0.6400233]
884,terre,[-2.54223746]
885,terrible,[0.29878064]
886,tirer,[-2.06860804]
887,tiré,[-0.96550346]
888,toile,[-1.4621902]
889,tombé,[-1.74147755]
890,toujours,[1.21233818]
891,toujours là,[0.25169139]
892,tour,[3.34344056]
893,tourné,[-0.71640782]
894,tourné vers,[0.4422838]
895,tous,[0.53749874]
896,tous cas,[2.8237429]
897,tous deux,[1.93993612]
898,tout,[4.3137669]
899,tout cas,[-1.66343397]
900,tout coup,[0.74539783]
901,tout fait,[1.28231933]
902,tout monde,[5.51507668]
903,tout suite,[-2.29247535]
904,tout suite après,[2.35836956]
905,tout temps,[-0.82915929]
906,toute,[2.41809894]
907,toute façon,[2.26359029]
908,toute journée,[-0.00787144]
909,toutes,[-1.51561273]
910,tram,[-3.30323981]
911,travail,[0.08895846]
912,travaillait,[-1.25044215]
913,traversé,[-2.2529513]
914,traîner,[-1.09673054]
915,trois,[-3.13204146]
916,trois jours,[-0.63312287]
917,tromperie,[-3.84758862]
918,trop,[-1.23609403]
919,trottoir,[-2.06092149]
920,trouvais,[2.55838242]
921,trouvait,[0.26261256]
922,trouve,[-2.12233417]
923,trouver,[-0.42976422]
924,trouvé,[1.80982101]
925,très,[0.12847288]
926,très bien,[1.96782178]
927,très chaud,[0.41262237]
928,très loin,[-0.82525095]
929,très vite,[1.11569677]
930,tuer,[3.43576694]
931,tué,[4.24151436]
932,type,[1.22891262]
933,témoin,[0.73962828]
934,témoins,[3.77843317]
935,tête,[1.58483868]
936,tôt,[1.3097103]
937,va,[-2.72225354]
938,vaguement,[-0.25865153]
939,vais,[-4.06325122]
940,vaut,[-0.61869991]
941,venait,[2.06800468]
942,venir,[0.65486911]
943,ventre,[-3.16684664]
944,venu,[3.08319061]
945,venue,[-0.07276562]
946,verrière,[-4.17122453]
947,vers,[2.07581562]
948,veux,[1.03098617]
949,vie,[0.16115645]
950,vieillards,[-3.87722184]
951,vieille,[2.80435818]
952,vieux,[-6.74657847]
953,vieux salamano,[-2.74770411]
954,village,[-1.49474716]
955,ville,[-1.80305336]
956,vin,[-3.16301598]
957,vingt,[-0.16221063]
958,vingt ans,[2.24247334]
959,visage,[4.81623831]
960,visages,[-1.16782936]
961,visite,[3.81541168]
962,vite,[0.40710602]
963,vivre,[-2.31455489]
964,voilà,[-0.39095388]
965,voir,[5.17753012]
966,vois,[1.00443004]
967,voisin,[3.63565848]
